stock,date,author
Z,2021-03-30,Gary Alexander
AMZN,2021-03-29,Vince Martin
BABA,2021-03-29,Julian Lin
NIO,2021-03-29,ALT Perspective
DISCK,2021-03-29,Exile of the Mainstream
PLTR,2021-03-28,Gary Alexander
ASHR,2021-03-28,ALT Perspective
LITB,2021-03-28,BOOX Research
AIQUF,2021-03-27,The Investment Doctor
CEQP,2021-03-26,CashFlow Hunter
ZS,2021-03-26,Cestrian Capital Research
NET,2021-03-25,Julian Lin
MSFT,2021-03-22,Cestrian Capital Research
EDVMF,2021-03-21,Taylor Dart
BABA,2021-03-21,ALT Perspective
AVID,2021-03-20,BOOX Research
CURI,2021-03-20,The Abstract Investor
HIG,2021-03-19,Stephen Simpson
VYGVF,2021-03-18,Beth Kindig
PRTS,2021-03-17,Jeremy Blum
NEM,2021-03-17,Taylor Dart
FSLY,2021-03-17,Convequity
GOOG,2021-03-16,Vincent Ventures
UAN,2021-03-14,Courage & Conviction Investing
CQQQ,2021-03-14,ALT Perspective
LBLCF,2021-03-13,The Investment Doctor
ESNT,2021-03-12,Jeremy Blum
AMZN,2021-03-12,ALT Perspective
RBLX,2021-03-12,Trading Places Research
CVS,2021-03-10,The Value Pendulum
DOCU,2021-03-10,Cestrian Capital Research
AAPL,2021-03-10,Trading Places Research
CURLF,2021-03-09,Julian Lin
TDOC,2021-03-09,Cestrian Capital Research
CVS,2021-03-09,Logan Kane
DKNG,2021-03-08,Gary Alexander
BIDU,2021-03-07,ALT Perspective
RGLD,2021-03-06,Taylor Dart
BRK.A,2021-03-05,Jim Sloan
SHMP,2021-03-05,Hapax Capital
PLTR,2021-03-05,Yves Sukhu
MU,2021-03-04,Logan Kane
SAVA,2021-03-04,Joe Springer
FB,2021-03-03,Fishtown Capital
LMT,2021-03-03,Exile of the Mainstream
FSLY,2021-03-02,Bert Hochfeld
FB,2021-03-01,Chuck Walston
BABA,2021-02-28,ALT Perspective
TORXF,2021-02-28,Taylor Dart
VST,2021-02-28,Trading Places Research
SGSVF,2021-02-27,Taylor Dart
BRK.A,2021-02-26,Jim Sloan
TSM,2021-02-25,Trading Places Research
GME,2021-02-25,Biotech Beast
PANW,2021-02-24,Cestrian Capital Research
MAC,2021-02-21,Kingdom Capital
BIDU,2021-02-21,ALT Perspective
OPYGY,2021-02-20,The Investment Doctor
PLTR,2021-02-19,Cestrian Capital Research
BABA,2021-02-18,ALT Perspective
AAPL,2021-02-17,James Emanuel
TRIT,2021-02-16,1035 Capital Management
AMZN,2021-02-16,Fishtown Capital
WFC,2021-02-16,Jeremy Blum
FB,2021-02-12,Thomas Lott
MKTY,2021-02-11,Kingdom Capital
TCEHY,2021-02-11,ALT Perspective
XOM,2021-02-08,Logan Kane
ASHR,2021-02-07,ALT Perspective
NIO,2021-02-05,ALT Perspective
FB,2021-02-04,Cory Cramer
FUBO,2021-02-04,Logan Kane
NMRD,2021-02-03,Aaron Warwick
AMD,2021-02-02,James Emanuel
ASHR,2021-02-01,ALT Perspective
CAHPF,2021-01-30,Taylor Dart
AAPL,2021-01-30,Trading Places Research
BABA,2021-01-29,ALT Perspective
TDOC,2021-01-28,James Emanuel
BTNB,2021-01-26,Chris DeMuth Jr.
SPCE,2021-01-25,Chris DeMuth Jr.
FB,2021-01-25,Stanislas Capital
ALPIB,2021-01-23,The Investment Doctor
NCNO,2021-01-23,Cestrian Capital Research
SNV,2021-01-23,Sheen Bay Research
GME,2021-01-22,Josh Young
WFC,2021-01-22,Richard J. Parsons
UWMC,2021-01-22,"Andrew Walker, CFA"
ALK,2021-01-21,Tim Dunn
DM,2021-01-21,Chris DeMuth Jr.
AMZN,2021-01-21,James Emanuel
LAZR,2021-01-20,Chris DeMuth Jr.
BKCQF,2021-01-19,Chris DeMuth Jr.
BABA,2021-01-19,ALT Perspective
PVG,2021-01-18,Taylor Dart
IAG,2021-01-18,Taylor Dart
GS,2021-01-18,IP Banking Research
ANXGF,2021-01-16,Taylor Dart
T,2021-01-15,Analystman
QCOM,2021-01-13,Trading Places Research
MP,2021-01-13,Chris DeMuth Jr.
ZOM,2021-01-12,Mossy Harbor Analytics
BABA,2021-01-11,ALT Perspective
PLTR,2021-01-11,Convequity
QS,2021-01-11,Chris DeMuth Jr.
SFTBY,2021-01-08,Chris DeMuth Jr.
NVAX,2021-01-07,Biotech Beast
BRK.A,2021-01-06,Fishtown Capital
POWW,2021-01-05,Moon Kil Woong
BABA,2021-01-04,ALT Perspective
BRK.A,2021-01-04,Jim Sloan
KRMD,2021-01-03,Quim Abril Auladell
APPS,2020-12-31,Cobiaman
MSFT,2020-12-29,Librarian Capital
CQQQ,2020-12-28,ALT Perspective
BAC,2020-12-28,IP Banking Research
BABA,2020-12-27,ALT Perspective
KL,2020-12-27,Taylor Dart
ALSWF,2020-12-26,The Investment Doctor
MSGE,2020-12-24,Dane Bowler
C,2020-12-24,IP Banking Research
LMT,2020-12-22,Valkyrie Trading Society
NFLX,2020-12-18,Akram's Razor
MS,2020-12-17,IP Banking Research
AMZN,2020-12-16,The Battle Of Giants
BIDU,2020-12-14,ALT Perspective
AAPL,2020-12-14,Vincent Ventures
DIS,2020-12-12,The Entertainment Oracle
ABNB,2020-12-11,MillennialMKTS
TWLO,2020-12-10,Cestrian Capital Research
BRK.A,2020-12-09,Jim Sloan
LAZR,2020-12-09,ASB Capital
BRK.B,2020-12-09,Left Shark Investing
XOM,2020-12-08,Logan Kane
BABA,2020-12-07,ALT Perspective
NEM,2020-12-06,Taylor Dart
FROG,2020-12-03,Bert Hochfeld
SQ,2020-12-02,The Abstract Investor
AEM,2020-12-01,Taylor Dart
TSLA,2020-12-01,ALT Perspective
PLTR,2020-12-01,Laurentian Research
BABA,2020-11-30,ALT Perspective
LOGI,2020-11-29,Steven Miller
LAZR,2020-11-28,ASB Capital
ARKK,2020-11-27,Cestrian Capital Research
VTRS,2020-11-26,Valkyrie Trading Society
GLAXF,2020-11-25,Valkyrie Trading Society
BAC,2020-11-25,IP Banking Research
PLTR,2020-11-24,Vincent Ventures
BIDU,2020-11-23,ALT Perspective
XLE,2020-11-23,J Mintzmyer
ROGFF,2020-11-22,Taylor Dart
TORXF,2020-11-22,Taylor Dart
KHC,2020-11-20,Ian Bezek
AROC,2020-11-18,Darren McCammon
ANET,2020-11-17,Bert Hochfeld
WORK,2020-11-17,Not Boring
GE,2020-11-16,Adam Levine-Weinberg CFA
BABA,2020-11-16,ALT Perspective
BAC,2020-11-16,IP Banking Research
TTCF,2020-11-11,Chris DeMuth Jr.
FSLY,2020-11-09,Bert Hochfeld
BABA,2020-11-09,ALT Perspective
IBM,2020-11-09,Yves Sukhu
SPCE,2020-11-05,Cestrian Capital Research
BABA,2020-11-04,ALT Perspective
PYPL,2020-11-03,Librarian Capital
BABA,2020-11-02,ALT Perspective
ARAY,2020-11-01,Stephen Simpson
PBI,2020-11-01,Courage & Conviction Investing
FHN,2020-10-31,Stephen Simpson
INTC,2020-10-29,Cory Cramer
LUMN,2020-10-29,Valkyrie Trading Society
ALTO,2020-10-29,Henrik Alex
FSLY,2020-10-29,Cestrian Capital Research
ROOT,2020-10-28,Bert Hochfeld
CQQQ,2020-10-26,ALT Perspective
EBC,2020-10-26,Chris DeMuth Jr.
BAC,2020-10-26,Brian Langis
CTVA,2020-10-24,The Investment Doctor
LUV,2020-10-23,Tim Dunn
EBC,2020-10-22,Chris DeMuth Jr.
DIS,2020-10-21,Akram's Razor
DKNG,2020-10-20,Gary Alexander
BRK.A,2020-10-20,Fishtown Capital
BABA,2020-10-19,ALT Perspective
CAHPF,2020-10-19,Taylor Dart
ABNB,2020-10-18,Scott Galloway
GILD,2020-10-18,DoctoRx
WFC,2020-10-16,Thomas J. Hayes
BAC,2020-10-16,Librarian Capital
PBR,2020-10-11,BOOX Research
V,2020-10-09,Librarian Capital
TRGP,2020-10-07,Michael Boyd
BIDU,2020-10-05,ALT Perspective
NUE,2020-10-03,The Investment Doctor
WBA,2020-10-02,Yves Sukhu
NKLA,2020-09-30,Courage & Conviction Investing
BABA,2020-09-28,ALT Perspective
FFIN,2020-09-28,ALG Research
MBSRF,2020-09-26,The Investment Doctor
AYX,2020-09-25,Bert Hochfeld
APXTW,2020-09-21,Chris DeMuth Jr.
JD,2020-09-20,ALT Perspective
ABBV,2020-09-18,Wolf Report
PLTR,2020-09-17,Cestrian Capital Research
MLHR,2020-09-15,Fishtown Capital
ASLE,2020-09-14,Chris DeMuth Jr.
WORK,2020-09-14,Bert Hochfeld
SNOW,2020-09-14,Yves Sukhu
UPS,2020-09-13,DoctoRx
DB,2020-09-12,The Investment Doctor
ZS,2020-09-10,Cestrian Capital Research
BABA,2020-09-08,ALT Perspective
RF,2020-09-07,ALG Research
EBAY,2020-09-06,Paul Franke
DOCU,2020-09-05,"Andres Cardenal, CFA"
QS,2020-09-04,Steve Zachritz
AVGO,2020-09-04,Stephen Simpson
CRWD,2020-09-03,Cestrian Capital Research
WLL,2020-09-02,WYCO Researcher
DEO,2020-09-01,Ian Bezek
ADYEY,2020-09-01,Not Boring
BRK.A,2020-08-31,Ohio Capital Ideas
BIDU,2020-08-31,ALT Perspective
TCEHY,2020-08-30,Not Boring
KO,2020-08-30,Paul Franke
INTC,2020-08-30,Joseph L. Shaefer
NOG,2020-08-28,Harrison Schwartz
IBA,2020-08-28,Ian Bezek
GSL,2020-08-27,J Mintzmyer
DAL,2020-08-26,Tim Dunn
CYDY,2020-08-26,Out of Ignorance
SBLK,2020-08-25,J Mintzmyer
TCEHY,2020-08-25,Not Boring
TSLA,2020-08-24,DoctoRx
BABA,2020-08-24,ALT Perspective
TDOC,2020-08-24,Bert Hochfeld
LOW,2020-08-21,GS Analytics
NVDA,2020-08-21,DoctoRx
LPG,2020-08-20,J Mintzmyer
GTBIF,2020-08-20,Harrison Schwartz
ZM,2020-08-18,DoctoRx
EURN,2020-08-18,J Mintzmyer
FSLY,2020-08-17,Bert Hochfeld
INFO,2020-08-17,ALT Perspective
AYX,2020-08-14,Niki Schranz
INTC,2020-08-13,The FALCON Method
GPRK,2020-08-12,Laurentian Research
NFLX,2020-08-11,The Long-winded
TEAM,2020-08-11,Bert Hochfeld
BMY,2020-08-11,Thomas Lott
AZN,2020-08-10,Intrepid Investor
BABA,2020-08-10,ALT Perspective
BRK.A,2020-08-10,Exile of the Mainstream
PYPL,2020-08-10,Librarian Capital
LUMN,2020-08-07,David Klein
MSFT,2020-08-07,Fluidsdoc
SPCE,2020-08-05,Cestrian Capital Research
FXI,2020-08-04,ALT Perspective
GILD,2020-08-02,DoctoRx
FB,2020-07-31,Librarian Capital
T,2020-07-30,Thomas Lott
BABA,2020-07-27,ALT Perspective
INTC,2020-07-27,Technology Investing
INTC,2020-07-27,Wolf Report
COF,2020-07-24,Tim Travis
BRK.A,2020-07-23,Jim Sloan
GOOG,2020-07-21,Trembling With Greed
CQQQ,2020-07-20,ALT Perspective
BAC,2020-07-20,Tim Travis
BCRX,2020-07-20,ONeil Trader
PNC,2020-07-18,Sheen Bay Research
BAC,2020-07-17,Stephen Simpson
GBTC,2020-07-17,Lyn Alden Schwartzer
JPM,2020-07-16,Tim Travis
WFC,2020-07-15,Tim Travis
TSE,2020-07-15,Prati Management
BNTX,2020-07-14,ONeil Trader
TSLA,2020-07-13,DoctoRx
BRK.A,2020-07-13,Fishtown Capital
BABA,2020-07-13,ALT Perspective
DM,2020-07-10,Chris DeMuth Jr.
LVGO,2020-07-08,Stefan Redlich
NKLA,2020-07-06,"Andrew Walker, CFA"
BABA,2020-07-06,ALT Perspective
DBX,2020-07-02,Gary Alexander
NCNO,2020-07-02,Bert Hochfeld
ROKU,2020-06-30,Gary Alexander
HTOO,2020-06-30,Henrik Alex
EPD,2020-06-30,Fluidsdoc
DELL,2020-06-27,Viceni Investing
LUV,2020-06-26,Tim Dunn
ADBE,2020-06-24,ALT Perspective
FRG,2020-06-22,Chris DeMuth Jr.
CQQQ,2020-06-22,ALT Perspective
NVO,2020-06-21,DoctoRx
CVS,2020-06-19,Gen Alpha
TCEHY,2020-06-18,ALT Perspective
CNQ,2020-06-16,Laurentian Research
TTCF,2020-06-15,Amit Ghate
BABA,2020-06-08,ALT Perspective
ACAD,2020-06-07,Alex Vasylenko
PENN,2020-06-03,Catalyst Capital
BABA,2020-06-02,ALT Perspective
CQQQ,2020-06-01,ALT Perspective
NTNX,2020-06-01,Bert Hochfeld
AZN,2020-06-01,DoctoRx
PFE,,Mare Evidence Lab
TEAM,,The Investing Edge
RTX,,Librarian Capital
WDAY,,Bert Hochfeld
WORK,,The Investing Edge
GILD,,DoctoRx
ASTVF,,Mare Evidence Lab
AMZN,,ALT Perspective
NBR,,Darren McCammon
UL,,Risk Research Inc
TWTR,,Fishtown Capital
ARKAF,,Mare Evidence Lab
WORK,,The Investing Edge
DAR,,SA PRO Interviews
UNIT,,Dane Bowler
AEO,,"Carlton Getz, CFA"
FPI,,Dane Bowler
OBSV,,SA PRO Interviews
OMAB,,Ian Bezek
IRM,,Dane Bowler
CMCSA,,"Andrew Walker, CFA"
VTOL,,Michigan Value Investor
NRIM,,SA PRO Interviews
MPW,,Dane Bowler
PKI,,Belgian And Bullish
PCYO,,SA PRO Interviews
CNDT,,Alexander Veytsman
ARR,,Dane Bowler
GILD,,DoctoRx
PCH,,"Robert Ruggirello, CFA"
AGRX,,Eugene Capital Advisors
IRM,2020-04-30,Dane Bowler
PDYPY,2020-04-30,Go Anywhere Fund
GTLS,2020-04-30,Stephen Simpson
BMBLF,2020-04-30,ValueX
RXEEY,2020-04-29,Stephen Simpson
VLEEY,2020-04-29,Stephen Simpson
GT,2020-04-27,Marko Mircetic
ITIC,2020-04-27,Ian Bezek
KSU,2020-04-24,GS Analytics
PSTG,2020-04-23,Bert Hochfeld
TV,2020-04-23,SA PRO Interviews
SWBI,2020-04-22,Rota Fortunae
NETI,2020-04-22,J Mintzmyer
BLBD,2020-04-21,Vince Martin
ITIC,2020-04-20,Ohio Capital Ideas
SCEXF,2020-04-20,ValueX
GILD,2020-04-19,DoctoRx
ESTC,2020-04-17,Bert Hochfeld
BA,2020-04-15,Adam Levine-Weinberg CFA
WFG,2020-04-15,SA PRO Interviews
REX,2020-04-15,SA PRO Interviews
APD,2020-04-15,Stanislas Capital
CFPZF,2020-04-15,Jaulian Financial
UMH,2020-04-14,Dane Bowler
BKE,2020-04-10,"Carlton Getz, CFA"
LPTH,2020-04-09,Kabir Mathur
EURN,2020-04-09,The Investing Edge
OTIS,2020-04-08,Trembling With Greed
CCL,2020-04-08,Raul Shah
KMX,2020-04-08,"Robert Ruggirello, CFA"
TLYS,2020-04-07,"Carlton Getz, CFA"
VCEL,2020-04-07,SA PRO Interviews
CHKP,2020-04-03,Robbe Delaet
SCTBF,2020-04-02,Stanislas Capital
BRK.A,2020-04-02,Fishtown Capital
SNAP,2020-04-02,Richard Durant
AIV,2020-04-02,Dane Bowler
AER,2020-04-01,SA PRO Interviews
BRK.A,2020-03-30,Ohio Capital Ideas
SQ,2020-03-30,Bert Hochfeld
PRVB,2020-03-30,Illumination Capital
AVTR,2020-03-26,SA PRO Interviews
BXMT,2020-03-26,"Robert Ruggirello, CFA"
TGP,2020-03-26,The Investing Edge
NLS,2020-03-25,Croatoan Capital
KL,2020-03-24,Peter Arendas
AGS,2020-03-23,Vince Martin
CRWD,2020-03-23,Bert Hochfeld
RTMVF,2020-03-23,Librarian Capital
IBM,2020-03-20,Yves Sukhu
FRG,2020-03-20,Michigan Value Investor
FLTDF,2020-03-19,Robbe Delaet
QGEN,2020-03-19,Chris DeMuth Jr.
PD,2020-03-19,Akram's Razor
RH,2020-03-19,Josh Arnold
INSW,2020-03-19,The Investing Edge
WORK,2020-03-17,Bert Hochfeld
IVPAF,2020-03-17,Peter Arendas
MURGF,2020-03-16,The European View
NET,2020-03-13,Bert Hochfeld
KEM,2020-03-13,Dan Stringer
SHNWF,2020-03-12,Librarian Capital
RAIFY,2020-03-11,Labutes IR
AMSC,2020-03-10,SA PRO Interviews
ZTS,2020-03-10,Librarian Capital
GHC,2020-03-09,Ohio Capital Ideas
BOSSY,2020-03-06,The European View
FRRFF,2020-03-06,Librarian Capital
SRL,2020-03-06,LeeFarnam
MIXT,2020-03-05,SA PRO Interviews
DELL,2020-03-05,SA PRO Interviews
ALGT,2020-03-05,Value Vault
G,2020-03-04,Value Alpha
AVAV,2020-03-04,1035 Capital Management
AER,2020-03-03,"Robert Ruggirello, CFA"
BKNG,2020-03-03,Belgian And Bullish
LILA,2020-03-02,Michigan Value Investor
GOOG,2020-03-02,Michael McGrath
PTNAF,2020-03-02,The Value Pendulum
DETNF,2020-02-26,Street Smart Investor
HUD,2020-02-26,SA PRO Interviews
ALX,2020-02-25,Safety In Value
ARNGF,2020-02-25,Bang For The Buck
TSE,2020-02-25,Prati Management
KL,2020-02-25,Street Smart Investor
FB,2020-02-24,Joe Albano
BXRX,2020-02-24,Michigan Value Investor
REMYF,2020-02-21,Ian Bezek
ABEV,2020-02-21,Ian Bezek
PD,2020-02-20,The Investing Edge
FENC,2020-02-19,SA PRO Interviews
VOD,2020-02-18,Credit Investing
CNX,2020-02-18,Left Shark Investing
QCOM,2020-02-17,The European View
PHG,2020-02-14,Belgian And Bullish
DB,2020-02-13,KCI Research Ltd.
MMAC,2020-02-12,Arquitos Capital Management
RICK,2020-02-11,1 Main Capital
DVN,2020-02-11,Michael Boyd
GILD,2020-02-10,Dalton Hicks
GOLD,2020-02-10,SomaBull
BWEN,2020-02-07,Steve Zachritz
GOOS,2020-02-07,SA PRO Interviews
UNG,2020-02-07,Ross Hendricks
SRLP,2020-02-06,Volte-Face Investments
FB,2020-02-06,The Investing Edge
KFY,2020-02-05,Kerrisdale Capital Management
MDRIQ,2020-02-04,Jeremy Raper
FB,2020-02-03,Librarian Capital
XPEL,2020-01-31,Unconventional Capital Wisdom
ANET,2020-01-31,Bert Hochfeld
APD,2020-01-31,Option Generator
OESX,2020-01-31,Arthur Frentzel
OSSIF,2020-01-30,Aaron Warwick
WORK,2020-01-30,Arne Verheyde
SBBP,2020-01-30,Illumination Capital
LSXMA,2020-01-29,Michael Rivers
BDL,2020-01-29,Carleton Hanson
ATEN,2020-01-29,Kabir Mathur
ADS,2020-01-28,SA PRO Interviews
LAC,2020-01-28,Long Term Tips
UROV,2020-01-28,Wunderkind Research
CLLS,2020-01-27,Christiana Friedman
LYFT,2020-01-23,Jeremy Blum
CPHC,2020-01-23,Thomas Niel
PINS,2020-01-23,The Investing Edge
LIN,2020-01-22,James Hanshaw
CHWY,2020-01-22,Vince Martin
LVGO,2020-01-21,Bert Hochfeld
SIG,2020-01-21,BOOX Research
PMDKY,2020-01-17,The Value Pendulum
WFRSF,2020-01-17,FI Fighter
ASPS,2020-01-17,Credit Investing
VBIV,2020-01-17,Christiana Friedman
INGR,2020-01-17,SA PRO Interviews
BGGSQ,2020-01-16,Hawkinvest
CVNA,2020-01-16,Saga Partners
ARKR,2020-01-15,Investing 501
FDX,2020-01-14,GS Analytics
LIND,2020-01-13,1035 Capital Management
CIBN,2020-01-13,"Carlton Getz, CFA"
NXPI,2020-01-13,The European View
GTX,2020-01-10,Hawkinvest
RCEL,2020-01-09,Wall Street Titan
PRGAF,2020-01-09,George Fisher
HA,2020-01-09,Adam Levine-Weinberg CFA
FLNG,2020-01-08,Credit Investing
NVLNF,2020-01-08,Bart van Velzen
CMCSA,2020-01-07,Librarian Capital
FB,2020-01-07,HedgeMix Limited
CHWY,2020-01-07,Julian Lin
DHC,2020-01-07,The Boy Plunger
AOIFF,2020-01-06,The Value Portfolio
BRK.A,2020-01-06,Fishtown Capital
INO,2020-01-06,Douglas McBride
SHLLF,2020-01-06,Credit Investing
FSLY,2020-01-06,Bert Hochfeld
KKR,2020-01-03,SA PRO Interviews
JWN,2020-01-03,Adam Levine-Weinberg CFA
KTCC,2020-01-03,Jeremy Blum
JLMC,2020-01-02,SA Marketplace
FLNG,2020-01-02,The Investing Edge
ELVT,2019-12-31,Jolyon Loo
APPS,2019-12-30,Cobiaman
DKNG,2019-12-24,Vince Martin
RNG,2019-12-24,Stamina Capital
SMAR,2019-12-23,Bert Hochfeld
VIAC,2019-12-23,Chris DeMuth Jr.
AAPL,2019-12-23,SA Marketplace
REGI,2019-12-20,The Visible Hand
SPB,2019-12-20,Vince Martin
DSSI,2019-12-19,The Investing Edge
CEQP,2019-12-18,Thomas Lott
TTSH,2019-12-18,Low Tide Investments
PTALF,2019-12-17,Alexander O. Stahel
PZZA,2019-12-17,Stamina Capital
CXW,2019-12-17,Dane Bowler
INTEQ,2019-12-16,Paul Litchfield
VTOL,2019-12-16,SA PRO Interviews
SWN,2019-12-13,KCI Research Ltd.
JBLU,2019-12-13,SA PRO Interviews
SMIT,2019-12-12,PickYourSpots
RXEEY,2019-12-11,Stephen Simpson
REMYF,2019-12-11,Librarian Capital
BRMK,2019-12-10,Prescience Point
TPCS,2019-12-10,Aaron Warwick
CQQQ,2019-12-09,ALT Perspective
CHL,2019-12-05,The Fortune Teller
DT,2019-12-05,Bert Hochfeld
NVDA,2019-12-05,The Investing Edge
DDEJF,2019-12-04,Jim Roumell
BFYT,2019-12-04,Buckley Capital Management
GEAHF,2019-12-04,Valber
DELL,2019-12-03,Thomas Lott
GLPG,2019-12-02,Avisol Capital Partners
SUP,2019-12-02,Hawkinvest
YNDX,2019-12-02,Herding Value
PING,2019-11-27,Bert Hochfeld
UNT,2019-11-27,SA PRO Interviews
DELL,2019-11-26,Ryan Daniels
CDR,2019-11-26,Dane Bowler
VIAV,2019-11-25,1035 Capital Management
LK,2019-11-25,Chinese Internet Weekly
BRFS,2019-11-25,Stephen Simpson
CNTY,2019-11-22,"Andrew E.F. Gordon, CFA"
NWEGF,2019-11-21,SA PRO Interviews
SRL,2019-11-21,LeeFarnam
SGRP,2019-11-20,Inefficient Market
UTI,2019-11-18,Cardon Capital
CQQQ,2019-11-18,ALT Perspective
NLOK,2019-11-17,Matt Franz
UIS,2019-11-14,After-Market Analytics
LPG,2019-11-14,The Investing Edge
SXC,2019-11-13,Michael Boyd
M,2019-11-13,Dalton Hicks
RMCF,2019-11-13,Thomas Niel
GLDD,2019-11-13,George Fisher
TTD,2019-11-12,Bert Hochfeld
TWTR,2019-11-12,Paul Franke
BIDU,2019-11-12,ALT Perspective
EXEL,2019-11-12,Stephen Ayers
AJRD,2019-11-12,Cestrian Capital Research
VAR,2019-11-12,Behind The Idea
SCS,2019-11-11,Vince Martin
HWC,2019-11-11,Herding Value
CSCO,2019-11-10,Robbe Delaet
GTX,2019-11-08,Michael Rivers
PXD,2019-11-07,Jennifer Warren
RFP,2019-11-07,Harrison Schwartz
JMXXF,2019-11-07,SA PRO Interviews
MDVT,2019-11-07,"Carlton Getz, CFA"
EHTH,2019-11-06,Singular Research
BABA,2019-11-05,ALT Perspective
HCA,2019-11-05,Thomas Lott
SFIX,2019-11-05,Behind The Idea
GOGO,2019-11-04,Alex Behrens
BCLI,2019-11-04,Avisol Capital Partners
MNHFF,2019-11-01,The European View
EPEG,2019-11-01,Mark Taub
UAN,2019-10-31,Publius
AYSI,2019-10-31,Mario A. Rodriguez
HBB,2019-10-31,Anthony H. Steinmetz
SJR,2019-10-30,Ploutos Investing
DDOG,2019-10-30,Yves Sukhu
HMLP,2019-10-30,SA PRO Interviews
STNG,2019-10-30,1035 Capital Management
CRS,2019-10-29,Stephen Simpson
PNFP,2019-10-25,Stephen Simpson
UAMY,2019-10-25,Harrison Schwartz
MSFT,2019-10-25,DoctoRx
CVET,2019-10-25,SA PRO Interviews
MU,2019-10-24,Joe Albano
LYFT,2019-10-24,"Anthony Breen, CFA"
JSCIF,2019-10-24,Jorge Robles
GDDFF,2019-10-23,Value Alpha
BIIB,2019-10-23,DoctoRx
AMRS,2019-10-23,1035 Capital Management
RRC,2019-10-22,Michael Boyd
VOLT,2019-10-22,Vince Martin
NGVC,2019-10-22,SA PRO Interviews
AVLR,2019-10-22,Ian Bezek
AVGO,2019-10-21,The European View
RSTAY,2019-10-21,Robbe Delaet
TECD,2019-10-18,Thomas Lott
IEHC,2019-10-18,Jim Zimmerman
MALJF,2019-10-17,Safety In Value
HTHKY,2019-10-16,The Value Pendulum
GOOG,2019-10-16,The European View
BCKDY,2019-10-15,The Investment Doctor
GUAXF,2019-10-15,The Value Pendulum
CI,2019-10-15,SA PRO Interviews
GLGDF,2019-10-14,Bang For The Buck
OCC,2019-10-14,GreatQuarter
RSTAY,2019-10-14,After-Market Analytics
SPOT,2019-10-11,Tech and Growth
HUMRF,2019-10-10,ActiveEurope
LIQT,2019-10-10,1035 Capital Management
STNG,2019-10-09,CashFlow Hunter
GSL,2019-10-09,J Mintzmyer
FFIV,2019-10-09,High Watermark Investments
VMW,2019-10-09,Westlake Research
CC,2019-10-09,Cardon Capital
PM,2019-10-08,PNW Total Return Investor
IGGGF,2019-10-08,Charles Edwards
MT,2019-10-08,Stephen Simpson
BITA,2019-10-07,Anthony H. Steinmetz
TBTC,2019-10-07,Chantilly Capital
SEPGF,2019-10-07,The Investment Doctor
AYX,2019-10-07,Niki Schranz
MIK,2019-10-07,David Trainer
INSW,2019-10-07,J Mintzmyer
PYPL,2019-10-04,Acutus Investment Research
AMAG,2019-10-02,Zhiyuan Sun
WFC,2019-10-02,Ian Bezek
IOVA,2019-10-02,Alpha Exposure
LEA,2019-10-01,Raul Shah
SPLK,2019-10-01,Julian Lin
CENT,2019-10-01,Vince Martin
SYK,2019-09-30,Luis Filipe Silva Moreira
EXMRF,2019-09-30,The Investment Doctor
BLKLF,2019-09-30,Value Alpha
WH,2019-09-27,Stanislas Capital
ULTA,2019-09-26,Safety In Value
JCS,2019-09-26,Ron Myers
MESA,2019-09-25,Investing 501
FPI,2019-09-25,Dane Bowler
CTRYF,2019-09-25,Prevalence Value Capital
HLI,2019-09-25,Harrison Schwartz
DXYN,2019-09-24,Kabir Mathur
MITT,2019-09-24,Thomas Lott
VFF,2019-09-24,1035 Capital Management
MPCFF,2019-09-24,BigFundamental
IRMD,2019-09-23,Singular Research
ULTA,2019-09-23,HedgeMix Limited
SAIC,2019-09-23,Cestrian Capital Research
CLPIF,2019-09-20,Robbe Delaet
AEY,2019-09-19,Daniël Tacken
CRCQW,2019-09-19,Valcalytics
SONM,2019-09-19,Cobiaman
DDOG,2019-09-18,Bert Hochfeld
INTU,2019-09-18,Librarian Capital
TDOC,2019-09-18,Value Alpha
CLKFF,2019-09-18,Dan Stringer
EURN,2019-09-17,J Mintzmyer
PRSI,2019-09-17,Safety In Value
DAC,2019-09-17,Sunset Analysis
WFTLF,2019-09-17,Mark Taub
SMIZF,2019-09-16,The Investment Doctor
TFCCF,2019-09-16,"Brant Munro, CFA"
TCOM,2019-09-13,ALT Perspective
ZS,2019-09-13,Bert Hochfeld
NMM,2019-09-12,J Mintzmyer
PKDC-OLD,2019-09-11,Henrik Alex
CIEN,2019-09-10,Stephen Simpson
CQQQ,2019-09-09,ALT Perspective
GPRO,2019-09-09,Joe Albano
RYAAY,2019-09-06,Michael Rivers
PDD,2019-09-06,ALT Perspective
TECD,2019-09-05,Thomas Lott
BALY,2019-09-05,DP Technologies
FLXS,2019-09-05,Kabir Mathur
BREW,2019-09-04,Ian Bezek
GMS,2019-09-04,Vince Martin
MSGS,2019-09-04,The Boyar Value Group
MBUU,2019-09-04,Vince Martin
ALRM,2019-09-04,Value Alpha
YEXT,2019-09-03,Gary Alexander
CTRN,2019-09-03,Travis Werling
AMP,2019-09-03,Thomas Lott
TD,2019-09-03,John Lawlor
HEAR,2019-08-30,Vince Martin
TLRD,2019-08-30,Dmitriy Kozin
PBA,2019-08-29,John Lawlor
KMX,2019-08-28,"Robert Ruggirello, CFA"
YNDX,2019-08-28,Ryan Daniels
